currency,effectiveDate,mid
EUR/PLN,2024-01-02,4.3434
EUR/PLN,2024-01-03,4.3646
EUR/PLN,2024-01-04,4.3525
EUR/PLN,2024-01-05,4.3484
EUR/PLN,2024-01-08,4.3548
EUR/PLN,2024-01-09,4.3351
EUR/PLN,2024-01-10,4.3413
EUR/PLN,2024-01-11,4.3505
EUR/PLN,2024-01-12,4.3574
EUR/PLN,2024-01-15,4.3748
EUR/PLN,2024-01-16,4.3934
EUR/PLN,2024-01-17,4.3978
EUR/PLN,2024-01-18,4.4016
EUR/PLN,2024-01-19,4.3846
EUR/PLN,2024-01-22,4.356
EUR/PLN,2024-01-23,4.3697
EUR/PLN,2024-01-24,4.3755
EUR/PLN,2024-01-25,4.379
EUR/PLN,2024-01-26,4.3802
EUR/PLN,2024-01-29,4.3653
EUR/PLN,2024-01-30,4.3634
EUR/PLN,2024-01-31,4.3434
EUR/PLN,2024-02-01,4.3247
EUR/PLN,2024-02-02,4.3173
EUR/PLN,2024-02-05,4.3278
EUR/PLN,2024-02-06,4.3435
EUR/PLN,2024-02-07,4.3466
EUR/PLN,2024-02-08,4.3449
EUR/PLN,2024-02-09,4.3167
EUR/PLN,2024-02-12,4.328
EUR/PLN,2024-02-13,4.3214
EUR/PLN,2024-02-14,4.3435
EUR/PLN,2024-02-15,4.3463
EUR/PLN,2024-02-16,4.3414
EUR/PLN,2024-02-19,4.339
EUR/PLN,2024-02-20,4.3186
EUR/PLN,2024-02-21,4.3163
EUR/PLN,2024-02-22,4.3199
EUR/PLN,2024-02-23,4.3326
EUR/PLN,2024-02-26,4.3117
EUR/PLN,2024-02-27,4.3067
EUR/PLN,2024-02-28,4.3116
EUR/PLN,2024-02-29,4.319
USD/PLN,2024-01-02,3.9432
USD/PLN,2024-01-03,3.9909
USD/PLN,2024-01-04,3.9684
USD/PLN,2024-01-05,3.985
USD/PLN,2024-01-08,3.9812
USD/PLN,2024-01-09,3.9612
USD/PLN,2024-01-10,3.9656
USD/PLN,2024-01-11,3.968
USD/PLN,2024-01-12,3.9746
USD/PLN,2024-01-15,3.9963
USD/PLN,2024-01-16,4.0358
USD/PLN,2024-01-17,4.0434
USD/PLN,2024-01-18,4.0437
USD/PLN,2024-01-19,4.0289
USD/PLN,2024-01-22,3.9972
USD/PLN,2024-01-23,4.0133
USD/PLN,2024-01-24,4.0131
USD/PLN,2024-01-25,4.0189
USD/PLN,2024-01-26,4.0393
USD/PLN,2024-01-29,4.0326
USD/PLN,2024-01-30,4.0301
USD/PLN,2024-01-31,4.0135
USD/PLN,2024-02-01,4.0047
USD/PLN,2024-02-02,3.9641
USD/PLN,2024-02-05,4.0244
USD/PLN,2024-02-06,4.0484
USD/PLN,2024-02-07,4.0362
USD/PLN,2024-02-08,4.0292
USD/PLN,2024-02-09,4.0096
USD/PLN,2024-02-12,4.0189
USD/PLN,2024-02-13,4.0136
USD/PLN,2024-02-14,4.0593
USD/PLN,2024-02-15,4.0495
USD/PLN,2024-02-16,4.0325
USD/PLN,2024-02-19,4.0269
USD/PLN,2024-02-20,3.9994
USD/PLN,2024-02-21,3.9966
USD/PLN,2024-02-22,3.9804
USD/PLN,2024-02-23,4.005
USD/PLN,2024-02-26,3.9776
USD/PLN,2024-02-27,3.9682
USD/PLN,2024-02-28,3.9922
USD/PLN,2024-02-29,3.9803
CHF/PLN,2024-01-02,4.6596
CHF/PLN,2024-01-03,4.6873
CHF/PLN,2024-01-04,4.6718
CHF/PLN,2024-01-05,4.6714
CHF/PLN,2024-01-08,4.6793
CHF/PLN,2024-01-09,4.6616
CHF/PLN,2024-01-10,4.6538
CHF/PLN,2024-01-11,4.6637
CHF/PLN,2024-01-12,4.6556
CHF/PLN,2024-01-15,4.6797
CHF/PLN,2024-01-16,4.69
CHF/PLN,2024-01-17,4.6912
CHF/PLN,2024-01-18,4.6793
CHF/PLN,2024-01-19,4.6388
CHF/PLN,2024-01-22,4.6073
CHF/PLN,2024-01-23,4.6228
CHF/PLN,2024-01-24,4.6387
CHF/PLN,2024-01-25,4.6543
CHF/PLN,2024-01-26,4.669
CHF/PLN,2024-01-29,4.6785
CHF/PLN,2024-01-30,4.6692
CHF/PLN,2024-01-31,4.6511
CHF/PLN,2024-02-01,4.6415
CHF/PLN,2024-02-02,4.6291
CHF/PLN,2024-02-05,4.624
CHF/PLN,2024-02-06,4.6378
CHF/PLN,2024-02-07,4.6322
CHF/PLN,2024-02-08,4.6166
CHF/PLN,2024-02-09,4.5779
CHF/PLN,2024-02-12,4.5906
CHF/PLN,2024-02-13,4.562
CHF/PLN,2024-02-14,4.5748
CHF/PLN,2024-02-15,4.5849
CHF/PLN,2024-02-16,4.5769
CHF/PLN,2024-02-19,4.57
CHF/PLN,2024-02-20,4.5361
CHF/PLN,2024-02-21,4.5385
CHF/PLN,2024-02-22,4.5379
CHF/PLN,2024-02-23,4.5427
CHF/PLN,2024-02-26,4.5208
CHF/PLN,2024-02-27,4.5113
CHF/PLN,2024-02-28,4.5292
CHF/PLN,2024-02-29,4.5332
EUR/USD,2024-01-02,1.1015
EUR/USD,2024-01-03,1.0936
EUR/USD,2024-01-04,1.0968
EUR/USD,2024-01-05,1.0912
EUR/USD,2024-01-08,1.0938
EUR/USD,2024-01-09,1.0944
EUR/USD,2024-01-10,1.0947
EUR/USD,2024-01-11,1.0964
EUR/USD,2024-01-12,1.0963
EUR/USD,2024-01-15,1.0947
EUR/USD,2024-01-16,1.0886
EUR/USD,2024-01-17,1.0876
EUR/USD,2024-01-18,1.0885
EUR/USD,2024-01-19,1.0883
EUR/USD,2024-01-22,1.0898
EUR/USD,2024-01-23,1.0888
EUR/USD,2024-01-24,1.0903
EUR/USD,2024-01-25,1.0896
EUR/USD,2024-01-26,1.0844
EUR/USD,2024-01-29,1.0825
EUR/USD,2024-01-30,1.0827
EUR/USD,2024-01-31,1.0822
EUR/USD,2024-02-01,1.0799
EUR/USD,2024-02-02,1.0891
EUR/USD,2024-02-05,1.0754
EUR/USD,2024-02-06,1.0729
EUR/USD,2024-02-07,1.0769
EUR/USD,2024-02-08,1.0784
EUR/USD,2024-02-09,1.0766
EUR/USD,2024-02-12,1.0769
EUR/USD,2024-02-13,1.0767
EUR/USD,2024-02-14,1.07
EUR/USD,2024-02-15,1.0733
EUR/USD,2024-02-16,1.0766
EUR/USD,2024-02-19,1.0775
EUR/USD,2024-02-20,1.0798
EUR/USD,2024-02-21,1.08
EUR/USD,2024-02-22,1.0853
EUR/USD,2024-02-23,1.0818
EUR/USD,2024-02-26,1.084
EUR/USD,2024-02-27,1.0853
EUR/USD,2024-02-28,1.08
EUR/USD,2024-02-29,1.0851
CHF/USD,2024-01-02,1.1817
CHF/USD,2024-01-03,1.1745
CHF/USD,2024-01-04,1.1773
CHF/USD,2024-01-05,1.1722
CHF/USD,2024-01-08,1.1753
CHF/USD,2024-01-09,1.1768
CHF/USD,2024-01-10,1.1735
CHF/USD,2024-01-11,1.1753
CHF/USD,2024-01-12,1.1713
CHF/USD,2024-01-15,1.171
CHF/USD,2024-01-16,1.1621
CHF/USD,2024-01-17,1.1602
CHF/USD,2024-01-18,1.1572
CHF/USD,2024-01-19,1.1514
CHF/USD,2024-01-22,1.1526
CHF/USD,2024-01-23,1.1519
CHF/USD,2024-01-24,1.1559
CHF/USD,2024-01-25,1.1581
CHF/USD,2024-01-26,1.1559
CHF/USD,2024-01-29,1.1602
CHF/USD,2024-01-30,1.1586
CHF/USD,2024-01-31,1.1589
CHF/USD,2024-02-01,1.159
CHF/USD,2024-02-02,1.1678
CHF/USD,2024-02-05,1.149
CHF/USD,2024-02-06,1.1456
CHF/USD,2024-02-07,1.1477
CHF/USD,2024-02-08,1.1458
CHF/USD,2024-02-09,1.1417
CHF/USD,2024-02-12,1.1423
CHF/USD,2024-02-13,1.1366
CHF/USD,2024-02-14,1.127
CHF/USD,2024-02-15,1.1322
CHF/USD,2024-02-16,1.135
CHF/USD,2024-02-19,1.1349
CHF/USD,2024-02-20,1.1342
CHF/USD,2024-02-21,1.1356
CHF/USD,2024-02-22,1.1401
CHF/USD,2024-02-23,1.1343
CHF/USD,2024-02-26,1.1366
CHF/USD,2024-02-27,1.1369
CHF/USD,2024-02-28,1.1345
CHF/USD,2024-02-29,1.1389
